GPSstart	GPSend	GMSTstart	GMSTend
1260606397.0	1260633523.0	40439.794082034896	40440.664274235154
1260661094.0	1260703278.0	40441.54874187334	40442.90198922923
1260703366.0	1260703661.0	40442.90481223718	40442.91427572974
1260703702.0	1260709026.0	40442.9155909948	40443.086382975715
1260709338.0	1260709663.0	40443.09639182208	40443.10681770371
1260710113.0	1260710581.0	40443.12125353981	40443.13626680936
1260711056.0	1260711320.0	40443.15150463636	40443.1599736602
1260712922.0	1260713103.0	40443.211365236726	40443.2171716508
1260723947.0	1260738008.0	40443.565043221235	40444.01611497999
1260746843.0	1260747917.0	40444.29953856213	40444.333992090964
1260755941.0	1260859341.0	40444.591399088495	40447.9084334285
1260867223.0	1260878265.0	40448.16128511775	40448.51550845607
1260885560.0	1260886519.0	40448.74952939911	40448.78029376982
1260888399.0	1260889487.0	40448.8406034851	40448.87550612883
1260891458.0	1260891538.0	40448.93873509096	40448.94130146182
1260892408.0	1260892536.0	40448.96921074495	40448.97331693833
1260892875.0	1260899966.0	40448.98419193486	40449.211668632204
1260907053.0	1260909322.0	40449.439017011	40449.51180570459
1260911476.0	1260914497.0	40449.58090524007	40449.67781781977
1260919265.0	1260923252.0	40449.83077352319	40449.958675031055
1260923355.0	1261012486.0	40449.96197923354	40452.821269250555
1261013054.0	1261025795.0	40452.83949048368	40453.2482171232
1261025895.0	1261085489.0	40453.251425086775	40455.163178901654
1261085612.0	1261153129.0	40455.167124696854	40457.333045466046
1261163605.0	1261163847.0	40457.669111730516	40457.67687500238
1261177552.0	1261179923.0	40458.116526410784	40458.192587227226
1261185694.0	1261237522.0	40458.377718805335	40460.040342168715
1261238362.0	1261244489.0	40460.067289062776	40460.263840991225
1261261952.0	1261280295.0	40460.82404767091	40461.41248443008
1261298290.0	1261341865.0	40461.989757476	40463.38762760527
1261352283.0	1261414438.0	40463.721833250864	40465.71574301298
1261422140.0	1261491412.0	40465.962820367786	40468.18504089778
1261497071.0	1261566501.0	40468.36657955668	40470.59386866912
1261571704.0	1261582822.0	40470.7607790141	40471.11744040474
1261588010.0	1261637351.0	40471.28386955518	40472.86671086438
1261637448.0	1261644739.0	40472.86982258905	40473.10371521355
1261649174.0	1261673361.0	40473.245988398245	40474.02189854894
1261675967.0	1261700872.0	40474.10549807979	40474.90444140897
1261705825.0	1261828598.0	40475.06333184501	40479.001844969054
1261965623.0	1261965933.0	40483.39755706228	40483.40750174937
1261965981.0	1262038002.0	40483.40904157189	40485.719449020646
1262044909.0	1262089007.0	40485.941023065	40487.35567084378
1262089416.0	1262106332.0	40487.36879141482	40487.91145053373
1262111475.0	1262122849.0	40488.076436100564	40488.44130987796
1262123147.0	1262127565.0	40488.45086960943	40488.59259744032
1262138770.0	1262158757.0	40488.952049759275	40489.593225439676
1262158845.0	1262159745.0	40489.59604844762	40489.62492011983
1262159848.0	1262190799.0	40489.62822432232	40490.62112112945
1262190910.0	1262212569.0	40490.62468196902	40491.31949480045
1262212718.0	1262275794.0	40491.324274666185	40493.34772977286
1262280765.0	1262312837.0	40493.50719764234	40494.53605572119
1262312887.0	1262343985.0	40494.537659702975	40495.53527221657
1262349768.0	1262383104.0	40495.72078875031	40496.790195488786
1262397225.0	1262404611.0	40497.24319202568	40497.480132215576
1262430737.0	1262432842.0	40498.31824478006	40498.38577241338
1262470540.0	1262525732.0	40499.59511052314	40501.365649781306
1262536296.0	1262558749.0	40501.70453905372	40502.424823115965
1262592123.0	1262595530.0	40503.4954488806	40503.604744199714
1262603825.0	1262638921.0	40503.87084477854	40504.996711675994
1262640993.0	1262688492.0	40505.06318068134	40506.58693130142
1262688611.0	1262714472.0	40506.59074877808	40507.42036023907
1262714944.0	1262718768.0	40507.43550182716	40507.558174354395
1262735573.0	1262738316.0	40508.097272633735	40508.18526707469
1262746233.0	1262762284.0	40508.43924155119	40508.95415178515
1262791107.0	1262817505.0	40509.87878312734	40510.72562135274
1262828631.0	1262844407.0	40511.08253938047	40511.58862771459
1262844473.0	1262858860.0	40511.590744970556	40512.05227469057
1262863942.0	1262878245.0	40512.21530339962	40512.67413843023
1262884040.0	1262893102.0	40512.8600399196	40513.15074557906
1262898851.0	1262919680.0	40513.33517140518	40514.00335813892
1262919719.0	1262987419.0	40514.004609244716	40516.176400587254
1262998108.0	1263012337.0	40516.51929981414	40516.975760951704
1263012448.0	1263051933.0	40516.979321791274	40518.24598621019
1263074525.0	1263141237.0	40518.9707293418	40521.11082600419
1263158886.0	1263159361.0	40521.676999496136	40521.69223732313
1263163421.0	1263164025.0	40521.82248064441	40521.841856744424
1263167844.0	1263174607.0	40521.96436887348	40522.181323450284
1263180070.0	1263229176.0	40522.35657450057	40523.931877095354
1263234761.0	1263263355.0	40524.1110418612	40525.02832696679
1263269365.0	1263271936.0	40525.22112557785	40525.30360232145
1263272009.0	1263330216.0	40525.30594413486	40527.17320349491
1263332913.0	1263398912.0	40527.25972227262	40529.37694615469
1263399288.0	1263438973.0	40529.38900809774	40530.66208844381
1263439188.0	1263478731.0	40530.668985565506	40531.93751060329
1263508248.0	1263514217.0	40532.88440521271	40533.0758885587
1263522105.0	1263528542.0	40533.32893272576	40533.5354293413
1263532867.0	1263571805.0	40533.674173766056	40534.923290624196
1263583492.0	1263591014.0	40535.2982053276	40535.53950834796
1263595628.0	1263615146.0	40535.68752378746	40536.31365411868
1263620637.0	1263649063.0	40536.48980339877	40537.40169912555
1263677338.0	1263677640.0	40538.30875082733	40538.31843887734
1263677815.0	1263683243.0	40538.324052813594	40538.49818107663
1263688619.0	1263787665.0	40538.6706411986	40541.848000804406
1263787796.0	1263794436.0	40541.8522032367	40542.0652120183
1263807999.0	1263812452.0	40542.500308118426	40542.64315873657
1263812514.0	1263833088.0	40542.64514767399	40543.3051541006
1263833097.0	1263850495.0	40543.30544281732	40543.86356432068
1263857147.0	1263867163.0	40544.076958057914	40544.39826768992
1263881127.0	1263925290.0	40544.846227724	40546.2629606791
1263931377.0	1263937091.0	40546.45822942212	40546.641532460984
1263946513.0	1263972352.0	40546.943786789336	40547.77269249834
1263972430.0	1264044985.0	40547.77519470994	40550.1027326842
1264055491.0	1264070749.0	40550.439761337744	40550.92923242053
1264077787.0	1264106086.0	40551.15500889717	40552.06283051021
1264110957.0	1264131592.0	40552.21909041611	40552.8810537005
1264171464.0	1264186813.0	40554.16013293846	40554.652523268094
1264193062.0	1264216232.0	40554.852988912106	40555.59627407321
1264221877.0	1264250849.0	40555.777363617206	40556.70677482513
1264256425.0	1264261585.0	40556.885650874254	40557.05118179489
1264297924.0	1264370267.0	40558.21692367963	40560.537660771115
1264392987.0	1264403179.0	40561.26651009611	40561.593465744016
1264409744.0	1264436140.0	40561.804068552934	40562.65084261908
1264442607.0	1264452560.0	40562.85830162369	40563.177590238636
1264454643.0	1264457418.0	40563.24441211997	40563.33343310928
1264462727.0	1264469840.0	40563.50374389565	40563.731926344975
1264477009.0	1264521216.0	40563.961905253906	40565.380049712985
1264521591.0	1264526137.0	40565.392079576406	40565.537913600674
1264531957.0	1264535208.0	40565.72461708094	40565.828907976866
1264542917.0	1264568467.0	40566.07620988912	40566.89584458339
1264568681.0	1264571417.0	40566.90270962545	40566.99047950895
1264572039.0	1264591699.0	40567.01043304241	40567.64111868191
1264597197.0	1264703538.0	40567.81749251945	40571.22887306829
1264703820.0	1264734208.0	40571.237919525585	40572.21275549777
1264734278.0	1264784410.0	40572.215001072276	40573.82321737337
1264784617.0	1264791613.0	40573.82985785798	40574.05428698992
1264794808.0	1264809614.0	40574.15678142625	40574.63175251366
1264809643.0	1264866326.0	40574.632682823096	40576.45105281821
1264897151.0	1264904061.0	40577.43990759124	40577.661577874496
1264908177.0	1264934798.0	40577.793617655385	40578.64760963957
1264938865.0	1264947697.0	40578.778077518306	40579.061404861546
1264950071.0	1264951103.0	40579.1375619169	40579.170668101026
1264951532.0	1264982347.0	40579.18443026477	40580.17296424144
1264988059.0	1265045316.0	40580.35620312104	40582.19298682709
1265045418.0	1265047500.0	40582.19625894994	40582.263048751636
1265054157.0	1265060484.0	40582.47660288705	40582.67957074265
1265064926.0	1265067935.0	40582.8220684848	40582.91859610887
1265080011.0	1265098299.0	40583.30598979059	40583.892662169805
1265098394.0	1265130933.0	40583.8957097352	40584.93954900396
1265138874.0	1265150428.0	40585.194293391716	40585.56494150356
1265161162.0	1265161286.0	40585.90928431405	40585.91326218889
1265175537.0	1265212294.0	40586.370429078444	40587.54958025093
1265218952.0	1265242703.0	40587.76316646598	40588.52508989548
1265243668.0	1265318151.0	40588.55604674401	40590.945434256064
1265325621.0	1265327636.0	40591.18506913537	40591.24970960147
1265327778.0	1265357502.0	40591.25426490975	40592.20780000378
1265357734.0	1265386839.0	40592.21524247928	40593.148920278756
1265387098.0	1265393670.0	40593.15722890443	40593.36805627079
1265403595.0	1265409033.0	40593.68644665594	40593.860895715334
1265415177.0	1265459527.0	40594.05799299759	40595.48072484458
1265471737.0	1265472044.0	40595.8724171975	40595.88226564568
1265495178.0	1265520836.0	40596.6243959399	40597.44749523483
1265521080.0	1265522804.0	40597.45532266596	40597.51062795805
1265527152.0	1265572714.0	40597.65011021444	40599.111722580004
1265575319.0	1265583484.0	40599.19529003122	40599.45722025739
1265589745.0	1265613274.0	40599.65807085703	40600.412872607376
1265617929.0	1265625701.0	40600.56220331195	40600.81152624126
1265638014.0	1265647992.0	40601.20652279666	40601.52661340251
1265648036.0	1265649815.0	40601.52802490648	40601.58509457854
1265655334.0	1265659477.0	40601.76214208843	40601.89504801948
1265662516.0	1265670791.0	40601.992538032624	40602.257997018736
1265673067.0	1265685544.0	40602.33101026978	40602.73126788545
1265685643.0	1265695872.0	40602.73444376939	40603.06258636382
1265696078.0	1265724845.0	40603.06919476879	40603.992029651374
1265729680.0	1265747426.0	40604.147134690385	40604.716419906996
1265754706.0	1265756560.0	40604.9499596555	40605.00943530024
1265757641.0	1265769517.0	40605.044113386524	40605.42509114109
