GPSstart	GPSend	GMSTstart	GMSTend
1241073881.0	1241074723.0	39813.19808282067	39813.225093874
1241088652.0	1241092348.0	39813.671931120836	39813.79049745469
1241092420.0	1241093422.0	39813.79280718847	39813.82495098352
1241093492.0	1241123810.0	39813.82719655803	39814.79978695571
1241123878.0	1241175681.0	39814.80196837094	39816.46378974343
1241175793.0	1241178492.0	39816.46738266264	39816.55396559962
1241178564.0	1241196917.0	39816.556275333394	39817.145032888926
1241197660.0	1241214224.0	39817.16886805832	39817.70023514543
1241242959.0	1241243122.0	39818.62204347967	39818.627272460304
1241243169.0	1241275548.0	39818.62878020318	39819.66748673021
1241302060.0	1241309944.0	39820.51798203411	39820.77089788262
1241310397.0	1241334204.0	39820.78542995763	39821.54914984673
1241366461.0	1241372418.0	39822.583942658195	39822.77504104855
1241374158.0	1241376164.0	39822.83085961482	39822.8952113642
1241376243.0	1241376347.0	39822.89774565543	39822.90108193755
1241381956.0	1241382706.0	39823.08101661466	39823.1050763415
1241390460.0	1241391237.0	39823.35382183736	39823.37874771436
1241393338.0	1241397900.0	39823.44614702914	39823.59249432759
1241402964.0	1241409504.0	39823.7549456032	39823.96474642122
1241417182.0	1241455140.0	39824.21105386477	39825.42873267984
1241469393.0	1241474688.0	39825.88596372866	39826.05582540013
1241476088.0	1241477440.0	39826.10073689023	39826.144108557804
1241482257.0	1241496841.0	39826.298636163374	39826.76648557164
1241502042.0	1241543561.0	39826.93333175735	39828.26524615544
1241546148.0	1241569520.0	39828.34823617322	39829.098001420745
1241569755.0	1241680362.0	39829.105540135155	39832.65377241025
1241689640.0	1241725020.0	39832.95140727105	39834.08638478507
1241739102.0	1241758867.0	39834.53813021617	39835.17218421743
1241758886.0	1241808777.0	39835.17279373051	39836.773278839384
1241810678.0	1241816107.0	39836.83426222701	39837.00842256968
1241816128.0	1241819786.0	39837.00909624203	39837.12644354972
1241820195.0	1241824573.0	39837.13956412076	39837.28000876622
1241831865.0	1241867688.0	39837.51393347035	39838.663122263024
1241868465.0	1241871981.0	39838.68804814002	39838.80084013944
1241872515.0	1241874757.0	39838.817970664946	39838.889893208376
1241934582.0	1241934706.0	39840.809057419116	39840.813035293955
1241934797.0	1241935328.0	39840.81595454081	39840.83298882741
1241935423.0	1241959894.0	39840.836036392815	39841.62105716007
1242071790.0	1242080583.0	39845.210640085694	39845.49271632313
1242080818.0	1242083994.0	39845.50025503754	39845.60213996079
1242107200.0	1242117912.0	39846.346579988785	39846.6902170473
1242117939.0	1242118412.0	39846.69108319746	39846.70625686519
1242118436.0	1242118895.0	39846.70702677645	39846.72175132927
1242118936.0	1242119004.0	39846.723066594335	39846.72524800957
1242119046.0	1242119199.0	39846.726595354274	39846.73150353855
1242119335.0	1242119621.0	39846.73586636902	39846.74504114485
1242119643.0	1242119895.0	39846.745746896835	39846.753830965055
1242119904.0	1242119921.0	39846.75411968178	39846.75466503559
1242119927.0	1242119931.0	39846.7548575134	39846.75498583194
1242119937.0	1242119946.0	39846.75517830976	39846.75546702648
