#GPSstart GPSend GMSTstart GMSTend
1165776564.0 1165781559.0 39018.68806600001 39019.05230718875
1165794104.0 1165797974.0 39019.967103122064 39020.24930800645
1165804250.0 1165806691.0 39020.70696119725 39020.88496174504
1165813743.0 1165819029.0 39021.399201755994 39021.78466299826
1165822045.0 1165822892.0 39022.004593213635 39022.06635743437
1165823191.0 1165823931.0 39022.088160859865 39022.14212251789
1165824158.0 1165829542.0 39022.15867562205 39022.55128314016
1165831528.0 1165842930.0 39022.69610455887 39023.52755160824
1165844729.0 1165852715.0 39023.658736773854 39024.24108514715
1165853118.0 1165855618.0 39024.270472373064 39024.45277526935
1165866333.0 1165879420.0 39025.234125481664 39026.18844468565
1165889250.0 1165891501.0 39026.90525967356 39027.06940520302
1165892400.0 1165901544.0 39027.13496132399 39027.80175239561
1165901908.0 1165923574.0 39027.82829570004 39029.40820551864
1165929865.0 1165930213.0 39029.86695252968 39029.892329090166
1165930319.0 1165932774.0 39029.90005873505 39030.07908017939
1165942401.0 1165949514.0 39030.781092173194 39031.29978037417
1165957050.0 1165967636.0 39031.84931422221 39032.62125760914
1165973419.0 1165981022.0 39033.042960667204 39033.5973802357
1165986498.0 1165987880.0 39033.99669650216 39034.09747354235
1165989595.0 1165990327.0 39034.222533328655 39034.27591161765
1165990476.0 1165990565.0 39034.286776870016 39034.293266853136
1165991982.0 1165992889.0 39034.39659613471 39034.4627356247
1165994149.0 1165994763.0 39034.55461628487 39034.59938987689
1165996695.0 1165997700.0 39034.74027355385 39034.8135593197
1165999733.0 1166000635.0 39034.96180803481 39035.02758291805
1166272292.0 1166273631.0 39054.8371260891 39054.93476751889
1166335797.0 1166337592.0 39059.467984261835 39059.59887774146
1166338853.0 1166342773.0 39059.6908313224 39059.97668226547
1166344678.0 1166345564.0 39060.1155970701 39060.1802052182
1166358061.0 1166360599.0 39061.09150093729 39061.27657483723
1166362909.0 1166364482.0 39061.44502271226 39061.55972769447
1166365851.0 1166368401.0 39061.65955676182 39061.84550571678
1166387430.0 1166394981.0 39063.23312244176 39063.78375011004
1166395039.0 1166395080.0 39063.78797953777 39063.790969303715
1166398760.0 1166402759.0 39064.05931916978 39064.35093088247
1166405056.0 1166411640.0 39064.5184307817 39064.99854369074
1166413220.0 1166414934.0 39065.113759121225 39065.238745986775
1166426598.0 1166460329.0 39066.089298381674 39068.54900197957
1166470232.0 1166482852.0 39069.27114021251 39070.19140523241
1167940596.0 1167942015.0 39176.49171366799 39176.59518879109
1168042713.0 1168065114.0 39183.93820361636 39185.57171048917
1168127733.0 1168141499.0 39190.13796051674 39191.141793182855
1168217448.0 1168227043.0 39196.68008225372 39197.379760771364
1168230759.0 1168253757.0 39197.65073579663 39199.327776599675
1168257440.0 1168257554.0 39199.59634522803 39199.604658239026
1168257977.0 1168258405.0 39199.63550388901 39199.66671414575
1168258508.0 1168258523.0 39199.67422502542 39199.67531884273
1168259344.0 1168259470.0 39199.73518711483 39199.744375180846
1168261760.0 1168262273.0 39199.9113646318 39199.94877318861
1168262312.0 1168274146.0 39199.95161711304 39200.81456610219
1168277984.0 1168278684.0 39201.09443751043 39201.145482320324
1168278792.0 1168280050.0 39201.15335780674 39201.24509262244
1168280194.0 1168283398.0 39201.255593270995 39201.48923266317
1168286560.0 1168287443.0 39201.71980936568 39201.784198748566
1168287559.0 1168287783.0 39201.79265760108 39201.80899194294
1168287898.0 1168288111.0 39201.81737787469 39201.83291008231
1168288141.0 1168288692.0 39201.83509771694 39201.87527727448
1168290656.0 1168291360.0 39202.01849443053 39202.069830926404
1168301794.0 1168324637.0 39202.83069029576 39204.49642831892
1168331848.0 1168347760.0 39205.022262792816 39206.18258426721
1168348105.0 1168362858.0 39206.20774206835 39207.28354792072
1168365723.0 1168366305.0 39207.49246703926 39207.53490715512
1168386624.0 1168388896.0 39209.016592174885 39209.18226904624
1168396517.0 1168399096.0 39209.738001197264 39209.92606486317
1168400092.0 1168411190.0 39209.99869433921 39210.80797335632
1168491502.0 1168500207.0 39216.664417441374 39217.29919612787
1168503785.0 1168510586.0 39217.56010803209 39218.05604483178
1168650299.0 1168651600.0 39228.24407865568 39228.33894908475
1168652839.0 1168668972.0 39228.429298400086 39229.60573545112
1168693174.0 1168695815.0 39231.37057332814 39231.56315810775
1168807996.0 1168813588.0 39239.74352659645 39240.15130171544
1168813609.0 1168817477.0 39240.15283306025 39240.43489210019
1168825165.0 1168825873.0 39240.99550996874 39241.04713814768
1168826836.0 1168833707.0 39241.11736122388 39241.61840250339
1168849240.0 1168878582.0 39242.75108685897 39244.89073949402
1168878949.0 1168883629.0 39244.917501560754 39245.25877258298
1168883786.0 1168902684.0 39245.27022120438 39246.64828525659
1168921412.0 1168940105.0 39248.013952714544 39249.377067931106
1168949178.0 1168972321.0 39250.038681605096 39251.72629597745
1168977021.0 1168978465.0 39252.0690254208 39252.174323574705
1168981271.0 1169010114.0 39252.37894034476 39254.4822053225
1169018804.0 1169024595.0 39255.115890188754 39255.53817661878
1169035114.0 1169058229.0 39256.30523428526 39257.99080686451
1169069018.0 1169075958.0 39258.77755324557 39259.28362608413
1169086767.0 1169095417.0 39260.07183088925 39260.7025989103
1169209435.0 1169218066.0 39269.01692356536 39269.64630608606
1169237106.0 1169237834.0 39271.03472494235 39271.087811548285
1169238942.0 1169241014.0 39271.16860819087 39271.3197008304
1169241197.0 1169249468.0 39271.33304540338 39271.936176305615
1169256221.0 1169272953.0 39272.42861288815 39273.64872971389
1169281141.0 1169288488.0 39274.24580816053 39274.78155991393
1169298517.0 1169305200.0 39275.512886212906 39276.00021831562
1169347116.0 1169353719.0 39279.056781594925 39279.53828000725
1169353884.0 1169357582.0 39279.5503119977 39279.81997444043
1169361481.0 1169370312.0 39280.104294038676 39280.74826079119
